"code","lat","lng","state","fullname","Pin_code","stops","DelayOverall","DelayDiscreate"
"AP",12.2740805,76.6356757,"Karnataka","ASHOKAPURAM",570008,14,16.5801526717557,3.51145038167939
"APA",26.1143479,74.2584908,"Rajasthan","AMARPURA",306102,4,39.775,2.625
"APB",13.304376,80.230903,"Tamil Nadu","ANUPPAMBATTU",601203,2,6.8,0.1
"APD",26.4784745,89.5208973,"West Bengal","ALIPUR DUAR",736121,6,NA,NA
"APDC",26.50154,89.527894,"West Bengal","ALIPUR DUAR CRT",736121,4,NA,NA
"APDJ",26.5237318,89.5341347,"West Bengal","ALIPUR DUAR JN",736123,34,18.5978260869565,-3.18478260869565
"APE",10.753674,79.822018,"Tamil Nadu","ANDANAPPETTAI",611106,1,22.125,4.875
"APG",26.7617149,81.1033541,"Uttar Pradesh","ANUPGANJ",226501,6,82.2982456140351,1.71929824561404
"APH",29.1968877,73.2045543,"Rajasthan","ANUPGARH",335701,8,-1.475,-3.8875
"API",10.3998791,77.9226834,"Tamil Nadu","AKKARAIPPATTI",624709,6,16.1090909090909,2.85454545454545
"APJ",28.0093733,76.0552368,"Haryana","AMARPUR JORASI",123023,6,27.45,1.75
"APK",9.5246858,78.1034314,"Tamil Nadu","ARUPPUKKOTTAI",626101,2,13.3333333333333,9.33333333333333
"APL",15.9694612,80.5139216,"Andhra Pradesh","APPIKATLA",522310,14,59.4846153846154,0.769230769230769
"APN",11.671574,78.2343088,"Tamil Nadu","AYODHYAPATTANAM",636103,4,19.4705882352941,-0.117647058823529
"APR",23.1175946,81.6955917,"Madhya Pradesh","ANUPPUR JN",484224,67,29.453488372093,-4.94186046511628
